Identificador de URL,Costo,Precio
greenwood-aco-perro-gato-500,514.0,617
sally-alcohol-gel-2d-holder-30,293.0,352
vais-perf-suave-brisa-dp-250,288.0,346
vais-perf-suave-brisa-dp-500,288.0,346
algabo-enjuague-bucal-500,435.0,522
algabo-enj-bucal-salcohol-500,435.0,522
vais-banio-ep-900,267.0,320
algabo-talco-soft-rosa-180,237.0,284
desodorante-en-polvo-clasico-200g,237.0,284
polvo-desodorante-para-pies-repuesto-200-g,237.0,284
algabo-crema-manos-y-unias-90,292.0,350
algabo-discos-desmaq-80,376.0,451
algabo-pompones-de-algodon-50,376.0,451
colonia-inglesa-750ml,655.0,786
sally-alcohol-gel-perf-75,226.0,271
algabo-men-talco-120,226.0,271
algabo-baby-fecula-doypack-200-g,339.0,407
algabo-talco-soft-ep-200,226.0,271
algabo-talco-clasico-120,226.0,271
algabo-baby-fecula-talquera-200-g,386.0,463
vais-perf-tela-suave-brisa-250,468.0,562
vais-perf-tela-calida-prim-500,468.0,562
vais-perf-tela-dulces-mimo-500,468.0,562
algabo-crema-miel-almendra-400,537.0,644
algabo-crema-avena-karite-400,537.0,644
algabo-crema-aloe-manz-400,537.0,644
algabo-baby-toallas-humedas-con-tapa-100-unidades,734.0,881
sally-unicornio-colonia-125-ml,720.0,864
ultra-zombies-colonia-125-ml,720.0,864
desodorante-en-polvo-clasico-180g,283.0,340
desodorante-en-polvo-suave-180g,283.0,340
algabo-men-talco-180,283.0,340
algabo-agua-micelar-200,522.0,626
algabo-men-after-shave-120,535.0,642
algabo-agua-micelar-dosif-120,432.0,518
vais-antigrasa-ep-900,267.0,320
algabo-men-crema-p-afeitar-150,746.0,895
kids-zero-locion-100,1275.0,1530
talco-perfumado-bolsita-floral-200g,185.0,222
spiderman-jabon-liquido-300,1214.0,1457
avengers-jab-liq-surtido-300,1214.0,1457
hello-kitty-jabon-liquido-300,1214.0,1457
star-wars-jabon-liquido-300,1214.0,1457
zombies-jabon-liq-surtido-300,1214.0,1457
algabo-jab-liquido-mundial-300,1214.0,1457
algabo-sh-aguacate-y-argan-930,389.0,467
algabo-sh-coco-y-leche-930,389.0,467
algabo-ac-coco-y-leche-930,389.0,467
algabo-ac-aguacate-y-argan-930,389.0,467
algabo-ac-manz-y-magnolia-930,389.0,467
algabo-sh-manz-y-magnolia-930,389.0,467
algabo-banio-natural-pomo-200,391.0,469
algabo-barro-vegetal-pomo-200,391.0,469
algabo-baby-jabon-flow-pack-80-g,139.0,167
vais-jab-liq-baja-esp-ep-800,329.0,395
avengers-spiderman-saniti-holder-30,292.0,350
minions-colonia-con-estuche-125-ml,823.0,988
frozen-colonia-elsa-125-ml,823.0,988
avengers-colonia-hulk-125-ml,823.0,988
hello-kitty-colonia-alegria-125-ml,823.0,988
hello-kitty-colonia-dulzura-125-ml,823.0,988
avengers-colonia-iron-man-125-ml,823.0,988
star-wars-colonia-baby-yoda-125-ml,823.0,988
avengers-colonia-capitan-america-125,823.0,988
avengers-colonia-spiderman-125-ml,823.0,988
vais-antigrasa-gatillo-500,309.0,371
vais-banio-gatillo-500,309.0,371
algabo-enjuague-bucal-250,324.0,389
algabo-enj-bucal-salcohol-250,324.0,389
ultra-zombies-colonia-125-ml-shampoo-200-ml,1111.0,1333
sally-unicornio-set-shampoo-200-ml-colonia-125-ml,1111.0,1333
algabo-hisopos-tubo-125,331.0,397
algabo-hisopos-tubo-125-impo,331.0,397
caja-x20-talco-perfumado-bolsita-floral-400g,269.0,323
algabo-quita-c-keratina-100,189.0,227
algabo-quita-humectante-100,189.0,227
algabo-quita-fortalecedor-100,189.0,227
algabo-esp-antib-manzmag-250,422.0,506
polvo-de-fecula-talquera-250g,411.0,493
algabo-gel-ef-humedo-475,427.0,512
algabo-gel-ext-fuerte-475,427.0,512
algabo-gel-ext-brillo-475,427.0,512
algabo-baby-aceite-para-bebe-200-ml,566.0,679
set-regalo-crema-shower-gel,337.0,404
vais-perf-tela-dulces-mimo-250,337.0,404
vais-perf-tela-calida-prim-250,337.0,404
talco-desodorante-en-polvo-antibacterial-200g,324.0,389
baby-set-colonia-125-sh-200,972.0,1166
algabo-gel-ext-brillo-pomo-150,240.0,288
algabo-gel-ef-humedo-pomo-150,240.0,288
algabo-gel-ext-fuerte-pomo-150,240.0,288
algabo-quita-c-dosif-120,399.0,479
algabo-baby-colonia-dulces-mimos-125-ml,399.0,479
algabo-quita-express-75,342.0,410
algabo-men-espuma-afeitar-415,514.0,617
avengers-set-colonia-125-ml-shampoo-200-ml,1272.0,1526
