Identificador de URL,Costo,Precio
ALGABO-COCOA-BEACH-PROTECTOR-SOLAR-F-45-x-200-ml,3299.0,3959
ALG-COCOA-BEACH-ACEITE-BRONC-CCOCO-SPRAY-x250-ml,2340.0,2808
ALG-COCOA-BEACH-ACEITE-BRONC-CZANAHORIA-FP-8-SPRAY-x250ml,2750.0,3300
ALG-COCOA-BEACH-PROTECTOR-SOLAR-FAMILIAR-F-30-x-400-ml,4914.0,5897
ALGABO-COCOA-BEACH-GEL-POST-SOLAR-POMO-x-200-gr,1497.0,1796
ALGABO-COCOA-BEACH-PROTECTOR-SOLAR-F-30-x-200-ml,2691.0,3229
ALGABO-COCOA-BEACH-PROTECTOR-SOLAR-F-15-x-200-ml,1931.0,2317
ALGABO-COCOA-BEACH-LOCION-SPRAY-BRONZER-FPS-8-x-250-ml,2750.0,3300
VENDA-ADHERENTE-FLEX-HIPOALERGIC-TIPO-COBAN-5-cm-x-45-mts,710.0,852
HIPO-APOSITO-FILM-6cm-x-7cm-x-3-unid,754.0,905
PARCHE-OCULAR-HIPOALERGIC-PEDIATRICO-x-20-u,1931.0,2317
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-5-mts-ROJO-BLISTER,2966.0,3559
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-5-mts-NEGRO-BLISTER,2966.0,3559
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-5-mts-PIEL-BLISTER,2966.0,3559
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-5-mts-AZUL,2966.0,3559
HIPO-PARCHE-OCULAR-PEDIATRICO-x-5-u,462.0,554
TELA-AD-OXIDO-ZINC-FUREY-N5-MOD-2-x-24-r-125cmx4m,4730.0,5676
HIPO-VENDA-FISIOPLAST-TENSOPLAST-75cm-x-45m,4212.0,5054
