Identificador de URL,Costo,Precio
PAMPERS-CONFORT-XTR-MES-Gx72,4195.0,4698
CARICIA-PANAL-XXGx22,1125.0,1260
PAMPERS-PREMIUM-XTR-MES-Gx72,4662.0,5221
HUGGIES-FLEXI-COMFORT-RNx17,922.0,1033
HUGGIES-FLEXI-COMFORT-Px30,1652.0,1850
HUGGIES-FLEXI-COMFORT-RNx34,1652.0,1850
HUGGIES-TOALLA-4en1-x80,724.0,811
DONCELLA-HISOPOSx100,407.0,456
HUGGIES-PROTECT-REG-XGx8,474.0,531
HUGGIES-PROTECT-REG-Px8,474.0,531
HUGGIES-PROTECT-REG-Mx8,474.0,531
HUGGIES-PROTECT-REG-Gx8,474.0,531
HUGGIES-PROTECT-REG-XXGx8,474.0,531
ESTRELLA-SHAMPOO-EQULIBRIOx200,496.0,556
ESTRELLA-SHAMPOO-CLAROSx200,496.0,556
ESTRELLA-ACONDICIONADOR-SUAVESx200,496.0,556
ESTRELLA-ACONDICIONADOR-EQUILIBRIOx200,496.0,556
ESTRELLA-JABON-BABY-GLICERINAx60,186.0,208
ESTRELLA-JABON-BABY-SUAVIDADx60,186.0,208
ESTRELLA-ACONDICIONADOR-CLAROSx400,768.0,860
ESTRELLA-ACONDICIONADOR-SUAVESx400,768.0,860
ESTRELLA-SHAMPOO-CLAROSx400,768.0,860
ESTRELLA-SHAMPOO-EQUILIBRIOx400,768.0,860
ESTRELLA-ACONDICIONADOR-EQUILIBRIOx400,768.0,860
PAMPERS-CONFORT-XTR-HIPER-XGx36,2938.0,3291
ESTRELLA-OLEO-ALGODONx950,1482.0,1660
PAMPERS-SUPER-XTR-ULTRA-XXGx30,1777.0,1990
PAMPERS-CONFORT-XTR-MES-XGx58,4195.0,4698
PAMPERS-PREMIUM-XTR-MES-XXGx54,4662.0,5221
ESTRELLA-OLEO-MANZANILLAx250,672.0,753
ESTRELLA-HISOPOSx100,420.0,470
HUGGIES-TOALLA-TRIPLE-PROTECCIONx96,652.0,730
HUGGIES-FLEXI-COMFORT-Px50,1874.0,2099
ESTRELLA-PA-OS-MAXI-ALGODONx50,823.0,922
ESTRELLA-POMPONES-x50,380.0,426
ESTRELLA-OLEO-ALGODONx500,889.0,996
HUGGIES-FLEXI-COMFORT-AHORRO-XXGx50,3603.0,4035
HUGGIES-FLEXI-COMFORT-Mx68,3603.0,4035
HUGGIES-FLEXI-COMFORT-Gx60,3603.0,4035
HUGGIES-FLEXI-COMFORT-XGx52,3603.0,4035
HUGGIES-FLEXI-COMFORT-AHORRO-XXXGx48,3603.0,4035
HUGGIES-CLASSIC-REG-Mx8,494.0,553
HUGGIES-CLASSIC-REG-XXGx8,494.0,553
HUGGIES-CLASSIC-REG-Px8,494.0,553
HUGGIES-CLASSIC-REG-Gx8,494.0,553
ESTRELLA-HISOPOS-BOLSAx125,387.0,433
HUGGIES-TOALLA-OLEO-RNx48,710.0,795
HUGGIES-TOALLA-OLEO-RNx80,1077.0,1206
HUGGIES-TOALLA-TRIPLE-PROTECCIONx48,369.0,413
HUGGIES-TOALLA-FROZENx48,441.0,494
HUGGIES-SUPREME-XXGx50,4166.0,4666
HUGGIES-SUPREME-Mx68,4166.0,4666
HUGGIES-SUPREME-XGx52,4166.0,4666
HUGGIES-SUPREME-Gx60,4166.0,4666
HUGGIES-SUPREME-XXXG-x48,4166.0,4666
KIMBIES-TOALLAS-HUMEDASx48,300.0,336
HUGGIES-PROTECT-Px50,1613.0,1807
HUGGIES-PLUS-PROTECT-Gx40,2182.0,2444
HUGGIES-PLUS-PROTECT-XGx32,2182.0,2444
HUGGIES-PROTECT-Px30,1033.0,1157
HUGGIES-TOALLA-TRIPLE-PROTECCIONx80,554.0,620
HUGGIES-CLASSIC-AHORRO-Gx60,3034.0,3398
HUGGIES-CLASSIC-AHORRO-XXGx50,3034.0,3398
HUGGIES-CLASSIC-AHORRO-XGx52,3034.0,3398
HUGGIES-CLASSIC-AHORRO-Mx68,3034.0,3398
ESTRELLA-PA-AL-MEGA-Px30,1335.0,1495
PAMPERS-TOTAL-PROTECT-Gx44,2070.0,2318
HUGGIES-PROTECT-AHORRO-Mx68,3123.0,3498
HUGGIES-PROTECT-AHORRO-Gx60,3123.0,3498
HUGGIES-PROTECT-AHORRO-XGx52,3123.0,3498
HUGGIES-PROTECT-AHORRO-XXGx50,3123.0,3498
HUGGIES-PROTECT-AHORRO-XXXGx48,3123.0,3498
HUGGIES-SUPREME-PREMATUROSx30,1440.0,1613
HUGGIES-SUPREME-Px30,2117.0,2371
HUGGIES-SUPREME-RNx34,2117.0,2371
ESTRELLA-PA-AL-HIPER-Mx44,2302.0,2578
ESTRELLA-PA-AL-HIPER-XXGx34,2302.0,2578
ESTRELLA-PA-AL-HIPER-XGx36,2302.0,2578
ESTRELLA-PA-AL-HIPER-Gx40,2302.0,2578
ESTRELLA-PA-AL-SUPER-Gx68,3763.0,4215
ESTRELLA-PA-AL-SUPER-JUNIORx50,3763.0,4215
ESTRELLA-PA-AL-SUPER-XXGx56,3763.0,4215
ESTRELLA-PA-AL-SUPER-XGx58,3763.0,4215
HUGGIES-SUPREME-Px17,1181.0,1323
HUGGIES-SUPREME-RNx17,1181.0,1323
BABYSEC-ULTRA-JUMBO-Mx68,2668.0,2988
BABYSEC-ULTRA-JUMBO-Gx60,2668.0,2988
BABYSEC-ULTRA-JUMBO-XGx52,2668.0,2988
BABYSEC-ULTRA-JUMBO-XXGx50,2668.0,2988
HUGGIES-SUPREME-Px50,2375.0,2660
